"Date","구장","원정팀","원정팀점수","홈팀점수","홈팀","원정팀결과","홈팀결과","비고"
"2016-03-08 13:00","대전","넥센",2,4,"한화","패","승","시범경기"
"2016-03-08 13:00","마산","삼성",5,3,"NC","승","패","시범경기"
"2016-03-08 13:00","수원","두산",5,5,"KT","무","무","시범경기"
"2016-03-08 13:00","울산","SK",6,6,"롯데","무","무","시범경기"
"2016-03-09 13:00","대전","넥센",1,3,"한화","패","승","시범경기"
"2016-03-09 13:00","광주","LG",3,0,"기아","승","패","시범경기"
"2016-03-09 13:00","마산","삼성",10,1,"NC","승","패","시범경기"
"2016-03-09 13:00","수원","두산",4,2,"KT","승","패","시범경기"
"2016-03-09 13:00","울산","SK",2,3,"롯데","패","승","시범경기"
"2016-03-10 13:00","대전","두산",7,12,"한화","패","승","시범경기"
"2016-03-10 13:00","광주","SK",4,3,"기아","승","패","시범경기"
"2016-03-10 13:00","마산","LG",6,4,"NC","승","패","시범경기"
"2016-03-10 13:00","울산","삼성",10,5,"롯데","승","패","시범경기"
"2016-03-11 13:00","마산","LG",4,3,"NC","승","패","시범경기"
"2016-03-11 13:00","울산","삼성",2,1,"롯데","승","패","시범경기"
"2016-03-12 13:00","대전","삼성",3,5,"한화","패","승","시범경기"
"2016-03-12 13:00","광주","넥센",8,9,"기아","패","승","시범경기"
"2016-03-12 13:00","마산","두산",7,8,"NC","패","승","시범경기"
"2016-03-12 13:00","수원","SK",1,3,"KT","패","승","시범경기"
"2016-03-12 13:00","울산","LG",8,5,"롯데","승","패","시범경기"
"2016-03-13 13:00","대전","삼성",8,1,"한화","승","패","시범경기"
"2016-03-13 13:00","광주","넥센",12,3,"기아","승","패","시범경기"
"2016-03-13 13:00","마산","두산",8,11,"NC","패","승","시범경기"
"2016-03-13 13:00","수원","SK",7,1,"KT","승","패","시범경기"
"2016-03-13 13:00","울산","LG",3,6,"롯데","패","승","시범경기"
"2016-03-15 13:00","고척","SK",6,4,"넥센","승","패","시범경기"
"2016-03-15 13:00","대전","LG",2,4,"한화","패","승","시범경기"
"2016-03-15 13:00","광주","NC",5,6,"기아","패","승","시범경기"
"2016-03-15 13:00","사직","두산",8,3,"롯데","승","패","시범경기"
"2016-03-15 13:00","수원","삼성",4,5,"KT","패","승","시범경기"
"2016-03-16 13:00","고척","SK",3,0,"넥센","승","패","시범경기"
"2016-03-16 13:00","대전","LG",2,8,"한화","패","승","시범경기"
"2016-03-16 13:00","광주","NC",1,2,"기아","패","승","시범경기"
"2016-03-16 13:00","사직","두산",8,2,"롯데","승","패","시범경기"
"2016-03-16 13:00","수원","삼성",8,3,"KT","승","패","시범경기"
"2016-03-17 13:00","고척","두산",7,1,"넥센","승","패","시범경기"
"2016-03-17 13:00","대전","SK",7,4,"한화","승","패","시범경기"
"2016-03-17 13:00","광주","삼성",9,5,"기아","승","패","시범경기"
"2016-03-17 13:00","사직","NC",2,2,"롯데","무","무","시범경기"
"2016-03-17 13:00","수원","LG",5,6,"KT","패","승","시범경기"
"2016-03-18 13:00","고척","두산",5,5,"넥센","무","무","시범경기"
"2016-03-18 13:00","수원","LG",6,10,"KT","패","승","시범경기"
"2016-03-19 13:00","고척","삼성",3,7,"넥센","패","승","시범경기"
"2016-03-19 13:00","잠실","기아",3,6,"두산","패","승","시범경기"
"2016-03-19 13:00","문학","LG",7,7,"SK","무","무","시범경기"
"2016-03-19 13:00","사직","한화",12,20,"롯데","패","승","시범경기"
"2016-03-19 13:00","마산","KT",2,1,"NC","승","패","시범경기"
"2016-03-20 13:00","고척","삼성",4,1,"넥센","승","패","시범경기"
"2016-03-20 13:00","잠실","기아",10,6,"두산","승","패","시범경기"
"2016-03-20 13:00","문학","LG",5,0,"SK","승","패","시범경기"
"2016-03-20 13:00","사직","한화",1,0,"롯데","승","패","시범경기"
"2016-03-20 13:00","마산","KT",3,6,"NC","패","승","시범경기"
"2016-03-22 13:00","고척","롯데",0,5,"넥센","패","승","시범경기"
"2016-03-22 13:00","잠실","SK",5,1,"두산","승","패","시범경기"
"2016-03-22 13:00","대구","LG",5,7,"삼성","패","승","시범경기"
"2016-03-22 13:00","광주","KT",1,8,"기아","패","승","시범경기"
"2016-03-22 13:00","마산","한화",4,9,"NC","패","승","시범경기"
"2016-03-23 13:00","고척","롯데",5,6,"넥센","패","승","시범경기"
"2016-03-23 13:00","잠실","SK",3,5,"두산","패","승","시범경기"
"2016-03-23 13:00","대구","LG",12,8,"삼성","승","패","시범경기"
"2016-03-23 13:00","광주","KT",8,0,"기아","승","패","시범경기"
"2016-03-23 13:00","마산","한화",8,4,"NC","승","패","시범경기"
"2016-03-24 13:00","잠실","넥센",2,6,"LG","패","승","시범경기"
"2016-03-24 13:00","문학","NC",3,0,"SK","승","패","시범경기"
"2016-03-24 13:00","대전","KT",5,3,"한화","승","패","시범경기"
"2016-03-24 13:00","대구","두산",8,3,"삼성","승","패","시범경기"
"2016-03-24 17:30","사직","기아",13,13,"롯데","무","무","시범경기"
"2016-03-25 13:00","잠실","넥센",7,1,"LG","승","패","시범경기"
"2016-03-25 13:00","문학","NC",6,5,"SK","승","패","시범경기"
"2016-03-25 13:00","대전","KT",8,4,"한화","승","패","시범경기"
"2016-03-25 13:00","사직","기아",11,5,"롯데","승","패","시범경기"
"2016-03-26 13:00","고척","NC",7,5,"넥센","승","패","시범경기"
"2016-03-26 13:00","잠실","두산",4,4,"LG","무","무","시범경기"
"2016-03-26 13:00","대구","SK",2,5,"삼성","패","승","시범경기"
"2016-03-26 13:00","수원","롯데",0,11,"KT","패","승","시범경기"
"2016-03-26 17:00","광주","한화",1,3,"기아","패","승","시범경기"
"2016-03-27 13:00","고척","NC",8,3,"넥센","승","패","시범경기"
"2016-03-27 13:00","잠실","두산",1,0,"LG","승","패","시범경기"
"2016-03-27 13:00","대구","SK",1,11,"삼성","패","승","시범경기"
"2016-03-27 13:00","광주","한화",10,5,"기아","승","패","시범경기"
"2016-03-27 13:00","수원","롯데",3,5,"KT","패","승","시범경기"
"2016-04-01 19:00","고척","롯데",2,1,"넥센","승","패","정규시즌"
"2016-04-01 19:00","잠실","한화",4,5,"LG","패","승","정규시즌"
"2016-04-01 19:00","문학","KT",8,4,"SK","승","패","정규시즌"
"2016-04-01 19:00","대구","두산",5,1,"삼성","승","패","정규시즌"
"2016-04-01 19:00","마산","기아",4,5,"NC","패","승","정규시즌"
"2016-04-02 14:00","고척","롯데",3,5,"넥센","패","승","정규시즌"
"2016-04-02 17:00","잠실","한화",7,8,"LG","패","승","정규시즌"
"2016-04-02 17:00","문학","KT",3,4,"SK","패","승","정규시즌"
"2016-04-02 17:00","대구","두산",6,10,"삼성","패","승","정규시즌"
"2016-04-02 17:00","마산","기아",4,3,"NC","승","패","정규시즌"
"2016-04-03 14:00","고척","롯데",5,6,"넥센","패","승","정규시즌"
"2016-04-03 14:00","문학","KT",5,4,"SK","승","패","정규시즌"
"2016-04-05 18:30","잠실","NC",2,6,"두산","패","승","정규시즌"
"2016-04-05 18:30","대전","넥센",5,9,"한화","패","승","정규시즌"
"2016-04-05 18:30","광주","LG",1,4,"기아","패","승","정규시즌"
"2016-04-05 18:30","사직","SK",1,2,"롯데","패","승","정규시즌"
"2016-04-05 18:30","수원","삼성",3,8,"KT","패","승","정규시즌"
"2016-04-06 18:30","잠실","NC",0,2,"두산","패","승","정규시즌"
"2016-04-06 18:30","대전","넥센",6,4,"한화","승","패","정규시즌"
"2016-04-06 18:30","사직","SK",1,11,"롯데","패","승","정규시즌"
"2016-04-06 18:30","수원","삼성",11,6,"KT","승","패","정규시즌"
"2016-04-07 18:30","잠실","NC",8,2,"두산","승","패","정규시즌"
"2016-04-07 18:30","대전","넥센",7,3,"한화","승","패","정규시즌"
"2016-04-07 18:30","광주","LG",8,4,"기아","승","패","정규시즌"
"2016-04-07 18:30","사직","SK",8,3,"롯데","승","패","정규시즌"
"2016-04-07 18:30","수원","삼성",3,1,"KT","승","패","정규시즌"
"2016-04-08 18:30","잠실","넥센",4,6,"두산","패","승","정규시즌"
"2016-04-08 18:30","문학","LG",2,3,"SK","패","승","정규시즌"
"2016-04-08 18:30","사직","삼성",7,3,"롯데","승","패","정규시즌"
"2016-04-08 18:30","마산","한화",4,5,"NC","패","승","정규시즌"
"2016-04-08 18:30","수원","기아",0,4,"KT","패","승","정규시즌"
"2016-04-09 14:00","사직","삼성",4,7,"롯데","패","승","정규시즌"
"2016-04-09 17:00","잠실","넥센",9,9,"두산","무","무","정규시즌"
"2016-04-09 17:00","문학","LG",3,4,"SK","패","승","정규시즌"
"2016-04-09 17:00","마산","한화",1,10,"NC","패","승","정규시즌"
"2016-04-09 17:00","수원","기아",6,3,"KT","승","패","정규시즌"
"2016-04-10 14:00","잠실","넥센",5,4,"두산","승","패","정규시즌"
"2016-04-10 14:00","사직","삼성",1,5,"롯데","패","승","정규시즌"
"2016-04-10 14:00","마산","한화",2,1,"NC","승","패","정규시즌"
"2016-04-10 14:00","수원","기아",6,9,"KT","패","승","정규시즌"
"2016-04-10 17:00","문학","LG",6,7,"SK","패","승","정규시즌"
"2016-04-12 18:30","고척","KT",2,5,"넥센","패","승","정규시즌"
"2016-04-12 18:30","잠실","롯데",11,12,"LG","패","승","정규시즌"
"2016-04-12 18:30","문학","기아",7,6,"SK","승","패","정규시즌"
"2016-04-12 18:30","대전","두산",8,2,"한화","승","패","정규시즌"
"2016-04-12 18:30","대구","NC",5,16,"삼성","패","승","정규시즌"
"2016-04-13 18:30","고척","KT",7,6,"넥센","승","패","정규시즌"
"2016-04-13 18:30","잠실","롯데",3,5,"LG","패","승","정규시즌"
"2016-04-13 18:30","문학","기아",0,2,"SK","패","승","정규시즌"
"2016-04-13 18:30","대전","두산",7,3,"한화","승","패","정규시즌"
"2016-04-13 18:30","대구","NC",7,2,"삼성","승","패","정규시즌"
"2016-04-14 18:30","고척","KT",5,4,"넥센","승","패","정규시즌"
"2016-04-14 18:30","잠실","롯데",9,0,"LG","승","패","정규시즌"
"2016-04-14 18:30","문학","기아",6,7,"SK","패","승","정규시즌"
"2016-04-14 18:30","대전","두산",17,2,"한화","승","패","정규시즌"
"2016-04-14 18:30","대구","NC",5,7,"삼성","패","승","정규시즌"
"2016-04-15 18:30","잠실","삼성",2,7,"두산","패","승","정규시즌"
"2016-04-15 18:30","대전","LG",18,2,"한화","승","패","정규시즌"
"2016-04-15 18:30","광주","넥센",6,11,"기아","패","승","정규시즌"
"2016-04-15 18:30","마산","롯데",0,3,"NC","패","승","정규시즌"
"2016-04-15 18:30","수원","SK",7,3,"KT","승","패","정규시즌"
"2016-04-17 14:00","잠실","삼성",2,6,"두산","패","승","정규시즌"
"2016-04-17 14:00","광주","넥센",2,1,"기아","승","패","정규시즌"
"2016-04-17 14:00","마산","롯데",8,5,"NC","승","패","정규시즌"
"2016-04-17 14:00","수원","SK",10,6,"KT","승","패","정규시즌"
"2016-04-17 17:00","대전","LG",6,4,"한화","승","패","정규시즌"
"2016-04-19 18:30","잠실","NC",8,1,"LG","승","패","정규시즌"
"2016-04-19 18:30","문학","넥센",3,1,"SK","승","패","정규시즌"
"2016-04-19 18:30","광주","삼성",2,7,"기아","패","승","정규시즌"
"2016-04-19 18:30","사직","한화",3,4,"롯데","패","승","정규시즌"
"2016-04-19 18:30","수원","두산",3,2,"KT","승","패","정규시즌"
"2016-04-20 18:30","잠실","NC",3,6,"LG","패","승","정규시즌"
"2016-04-20 18:30","문학","넥센",1,9,"SK","패","승","정규시즌"
"2016-04-20 18:30","광주","삼성",2,1,"기아","승","패","정규시즌"
"2016-04-20 18:30","사직","한화",4,10,"롯데","패","승","정규시즌"
"2016-04-20 18:30","수원","두산",13,4,"KT","승","패","정규시즌"
"2016-04-21 18:30","잠실","NC",8,5,"LG","승","패","정규시즌"
"2016-04-21 18:30","문학","넥센",2,3,"SK","패","승","정규시즌"
"2016-04-21 18:30","광주","삼성",8,1,"기아","승","패","정규시즌"
"2016-04-21 18:30","사직","한화",9,5,"롯데","승","패","정규시즌"
"2016-04-21 18:30","수원","두산",3,8,"KT","패","승","정규시즌"
"2016-04-22 18:30","고척","LG",2,10,"넥센","패","승","정규시즌"
"2016-04-22 18:30","잠실","한화",2,8,"두산","패","승","정규시즌"
"2016-04-22 18:30","문학","NC",6,5,"SK","승","패","정규시즌"
"2016-04-22 18:30","대구","KT",13,3,"삼성","승","패","정규시즌"
"2016-04-22 18:30","사직","기아",5,7,"롯데","패","승","정규시즌"
"2016-04-23 17:00","고척","LG",2,14,"넥센","패","승","정규시즌"
"2016-04-23 17:00","잠실","한화",2,3,"두산","패","승","정규시즌"
"2016-04-23 17:00","문학","NC",2,8,"SK","패","승","정규시즌"
"2016-04-23 17:00","대구","KT",11,6,"삼성","승","패","정규시즌"
"2016-04-23 17:00","사직","기아",16,10,"롯데","승","패","정규시즌"
"2016-04-24 14:00","고척","LG",5,3,"넥센","승","패","정규시즌"
"2016-04-24 14:00","문학","NC",2,3,"SK","패","승","정규시즌"
"2016-04-24 14:00","대구","KT",0,6,"삼성","패","승","정규시즌"
"2016-04-24 14:00","사직","기아",11,4,"롯데","승","패","정규시즌"
"2016-04-24 17:00","잠실","한화",1,5,"두산","패","승","정규시즌"
"2016-04-26 18:30","잠실","SK",3,4,"두산","패","승","정규시즌"
"2016-04-26 18:30","대전","기아",2,4,"한화","패","승","정규시즌"
"2016-04-26 18:30","대구","LG",2,0,"삼성","승","패","정규시즌"
"2016-04-26 18:30","마산","넥센",3,4,"NC","패","승","정규시즌"
"2016-04-26 18:30","수원","롯데",1,2,"KT","패","승","정규시즌"
"2016-04-27 18:30","잠실","SK",3,1,"두산","승","패","정규시즌"
"2016-04-27 18:30","수원","롯데",4,0,"KT","승","패","정규시즌"
"2016-04-28 18:30","잠실","SK",1,4,"두산","패","승","정규시즌"
"2016-04-28 18:30","대전","기아",2,3,"한화","패","승","정규시즌"
"2016-04-28 18:30","대구","LG",7,9,"삼성","패","승","정규시즌"
"2016-04-28 18:30","마산","넥센",4,2,"NC","승","패","정규시즌"
"2016-04-28 18:30","수원","롯데",8,3,"KT","승","패","정규시즌"
"2016-04-29 18:30","고척","SK",4,3,"넥센","승","패","정규시즌"
"2016-04-29 18:30","잠실","KT",3,4,"LG","패","승","정규시즌"
"2016-04-29 18:30","대전","삼성",5,10,"한화","패","승","정규시즌"
"2016-04-29 18:30","광주","두산",1,4,"기아","패","승","정규시즌"
"2016-04-29 18:30","사직","NC",6,3,"롯데","승","패","정규시즌"
"2016-04-30 17:00","고척","SK",5,1,"넥센","승","패","정규시즌"
"2016-04-30 17:00","잠실","KT",3,2,"LG","승","패","정규시즌"
"2016-04-30 17:00","대전","삼성",6,3,"한화","승","패","정규시즌"
"2016-04-30 17:00","광주","두산",7,5,"기아","승","패","정규시즌"
"2016-04-30 17:00","사직","NC",8,1,"롯데","승","패","정규시즌"
"2016-05-01 14:00","고척","SK",1,11,"넥센","패","승","정규시즌"
"2016-05-01 14:00","잠실","KT",2,4,"LG","패","승","정규시즌"
"2016-05-01 14:00","대전","삼성",8,9,"한화","패","승","정규시즌"
"2016-05-01 14:00","사직","NC",5,2,"롯데","승","패","정규시즌"
"2016-05-01 17:00","광주","두산",4,1,"기아","승","패","정규시즌"
"2016-05-03 18:30","문학","한화",7,2,"SK","승","패","정규시즌"
"2016-05-03 18:30","대구","넥센",5,0,"삼성","승","패","정규시즌"
"2016-05-03 18:30","광주","롯데",2,3,"기아","패","승","정규시즌"
"2016-05-04 18:30","잠실","두산",17,1,"LG","승","패","정규시즌"
"2016-05-04 18:30","문학","한화",1,5,"SK","패","승","정규시즌"
"2016-05-04 18:30","대구","넥센",6,3,"삼성","승","패","정규시즌"
"2016-05-04 18:30","광주","롯데",2,3,"기아","패","승","정규시즌"
"2016-05-04 18:30","수원","NC",8,6,"KT","승","패","정규시즌"
"2016-05-05 14:00","잠실","두산",7,8,"LG","패","승","정규시즌"
"2016-05-05 14:00","문학","한화",6,19,"SK","패","승","정규시즌"
"2016-05-05 14:00","대구","넥센",2,5,"삼성","패","승","정규시즌"
"2016-05-05 14:00","광주","롯데",1,17,"기아","패","승","정규시즌"
"2016-05-05 14:00","수원","NC",15,2,"KT","승","패","정규시즌"
"2016-05-06 18:30","고척","기아",6,15,"넥센","패","승","정규시즌"
"2016-05-06 18:30","잠실","롯데",7,0,"두산","승","패","정규시즌"
"2016-05-06 18:30","대구","SK",4,5,"삼성","패","승","정규시즌"
"2016-05-06 18:30","마산","LG",2,13,"NC","패","승","정규시즌"
"2016-05-06 18:30","수원","한화",3,10,"KT","패","승","정규시즌"
"2016-05-07 17:00","고척","기아",3,4,"넥센","패","승","정규시즌"
"2016-05-07 17:00","잠실","롯데",5,0,"두산","승","패","정규시즌"
"2016-05-07 17:00","대구","SK",6,3,"삼성","승","패","정규시즌"
"2016-05-07 17:00","마산","LG",1,4,"NC","패","승","정규시즌"
"2016-05-07 17:00","수원","한화",10,17,"KT","패","승","정규시즌"
"2016-05-08 14:00","잠실","롯데",17,11,"두산","승","패","정규시즌"
"2016-05-08 14:00","대구","SK",7,8,"삼성","패","승","정규시즌"
"2016-05-08 14:00","마산","LG",5,11,"NC","패","승","정규시즌"
"2016-05-08 14:00","수원","한화",4,7,"KT","패","승","정규시즌"
"2016-05-08 17:00","고척","기아",6,7,"넥센","패","승","정규시즌"
"2016-05-10 18:30","잠실","삼성",9,3,"LG","승","패","정규시즌"
"2016-05-10 18:30","문학","두산",11,7,"SK","승","패","정규시즌"
"2016-05-11 18:30","잠실","삼성",2,16,"LG","패","승","정규시즌"
"2016-05-11 18:30","문학","두산",7,3,"SK","승","패","정규시즌"
"2016-05-11 18:30","대전","NC",5,6,"한화","패","승","정규시즌"
"2016-05-11 18:30","광주","KT",3,8,"기아","패","승","정규시즌"
"2016-05-11 18:30","사직","넥센",16,2,"롯데","승","패","정규시즌"
"2016-05-12 18:30","잠실","삼성",7,5,"LG","승","패","정규시즌"
"2016-05-12 18:30","문학","두산",2,5,"SK","패","승","정규시즌"
"2016-05-12 18:30","대전","NC",12,1,"한화","승","패","정규시즌"
"2016-05-12 18:30","광주","KT",6,10,"기아","패","승","정규시즌"
"2016-05-12 18:30","사직","넥센",1,8,"롯데","패","승","정규시즌"
"2016-05-13 18:30","고척","두산",8,4,"넥센","승","패","정규시즌"
"2016-05-13 18:30","잠실","SK",1,2,"LG","패","승","정규시즌"
"2016-05-13 18:30","대구","롯데",14,8,"삼성","승","패","정규시즌"
"2016-05-13 18:30","광주","한화",2,4,"기아","패","승","정규시즌"
"2016-05-13 18:30","마산","KT",5,4,"NC","승","패","정규시즌"
"2016-05-14 17:00","고척","두산",12,2,"넥센","승","패","정규시즌"
"2016-05-14 17:00","잠실","SK",3,12,"LG","패","승","정규시즌"
"2016-05-14 17:00","대구","롯데",4,10,"삼성","패","승","정규시즌"
"2016-05-14 17:00","광주","한화",0,8,"기아","패","승","정규시즌"
"2016-05-14 17:00","마산","KT",6,3,"NC","승","패","정규시즌"
"2016-05-15 14:00","고척","두산",5,3,"넥센","승","패","정규시즌"
"2016-05-15 14:00","광주","한화",7,8,"기아","패","승","정규시즌"
"2016-05-15 14:00","마산","KT",2,2,"NC","무","무","정규시즌"
"2016-05-15 17:00","대구","롯데",8,3,"삼성","승","패","정규시즌"
"2016-05-17 18:30","고척","NC",3,5,"넥센","패","승","정규시즌"
"2016-05-17 18:30","잠실","기아",3,4,"두산","패","승","정규시즌"
"2016-05-17 18:30","문학","롯데",3,7,"SK","패","승","정규시즌"
"2016-05-17 18:30","수원","LG",9,7,"KT","승","패","정규시즌"
"2016-05-17 18:30","포항","한화",4,5,"삼성","패","승","정규시즌"
"2016-05-18 18:30","고척","NC",6,9,"넥센","패","승","정규시즌"
"2016-05-18 18:30","잠실","기아",5,15,"두산","패","승","정규시즌"
"2016-05-18 18:30","문학","롯데",3,5,"SK","패","승","정규시즌"
"2016-05-18 18:30","수원","LG",6,2,"KT","승","패","정규시즌"
"2016-05-18 18:30","포항","한화",2,13,"삼성","패","승","정규시즌"
"2016-05-19 18:30","고척","NC",6,2,"넥센","승","패","정규시즌"
"2016-05-19 18:30","잠실","기아",3,8,"두산","패","승","정규시즌"
"2016-05-19 18:30","문학","롯데",4,3,"SK","승","패","정규시즌"
